,Trigger API,Action API,Trigger Variables,Action Variables
101,gmail,airtable,"['New Email', 'New Starred Email', 'New Attachment', 'Watch Emails', 'New Label', 'New Email Matching Search', 'New Thread']","['Update Record', 'Create Record', 'Delete Record', 'Get Record', 'Search Record', 'Find Record', 'Search Records', 'Make Api Call', 'Create New Record', 'Search Record By View', 'Get All Record', 'Find/Create Record', 'List Records', 'Upsert Record', 'Make Api Request (Beta)']"
102,gmail,twilio,"['New Email', 'New Starred Email', 'New Attachment', 'Watch Emails', 'New Label', 'New Email Matching Search', 'New Thread']","['Send Sms', 'Call Phone', 'Get Message', 'Get Call', 'List Calls', 'Delete Call', 'List Message Media', 'Download Recording Media', 'List Recording Transcriptions', 'Delete Message', 'List Messages', 'Create Execution', 'Send Sms Message', 'Send Mms Message', 'Send Mms', 'Create Call', 'Create Message', 'Make Phone Call', 'Make Api Call']"
104,gmail,razorpay,"['New Email', 'New Starred Email', 'New Attachment', 'Watch Emails', 'New Label', 'New Email Matching Search', 'New Thread']","['Create Payment Link', 'Create Item', 'Update Subscription', 'Create Plan', 'Update Item', 'Create Subscription', 'Get Order By Id', 'Update Customer', 'Get Invoice By Id', 'Create Customer', 'Create Order', 'Update Order', 'Get Payment', 'Update Payment', 'Search Payments', 'Search Order By Id', 'Capture Payment', 'Search Invoice By Id', 'Create Partial Refund', 'Create Full Refund', 'Make Api Call', 'Create Invoice']"
105,gmail,figma,"['New Email', 'New Starred Email', 'New Attachment', 'Watch Emails', 'New Label', 'New Email Matching Search', 'New Thread']","['Post Comment', 'List Comments', 'Delete Comment', 'Make Api Call', 'List Projects']"
106,gmail,intercom,"['New Email', 'New Starred Email', 'New Attachment', 'Watch Emails', 'New Label', 'New Email Matching Search', 'New Thread']","['Create Note', 'Create/Update Company', 'Send Incoming Message', 'Add Event', 'Create Conversation', 'Update Company', 'Find Company', 'Update Tag', 'Create Company', 'Create/Update User', 'Create/Update Lead', 'Find/Create Company', 'List Segments', 'Assign Conversation', 'Reply To Conversation', 'Close Conversation', 'Get Segment', 'Create/Update Tag', 'Get Authenticated User', 'List Admins', 'Snooze Conversation', 'Create Contact', 'Update Contact', 'Delete Contact', 'Create User', 'Get Contact', 'Find User', 'Create Tag', 'Find Lead', 'Create Message', 'Find/Create Lead', 'Get Company', 'List Contacts', 'Add Note', 'Make Api Request (Beta)', 'Make Api Call', 'Delete Tag', 'List Tags', 'List Companies', 'Get Conversation', 'Create Contact Note', 'List Conversations', 'Create Lead (Legacy)']"
107,gmail,wordpress,"['New Email', 'New Starred Email', 'New Attachment', 'Watch Emails', 'New Label', 'New Email Matching Search', 'New Thread']","['Create Post', 'Update Post', 'Create User', 'Create Tag', 'Create Category', 'Update Tag', 'Find Post', 'Update Category', 'Delete Post', 'Search Tag', 'Delete User', 'Update Comment', 'Delete Tag', 'Update User', 'Create Comment', 'Get Media Item', 'Get Tag By Id', 'Search Users', 'Delete Comment', 'Get User', 'Find User', 'Get Comment', 'Search Category', 'Get Post By Id', 'Search User', 'Delete Category', 'Make Api Call', 'Get Post', 'Get Tag', 'Search Tags', 'Search Comments', 'Get Category', 'Create Photo Post', 'Search Posts', 'Find Category', 'Search Categories', 'Upload Media']"
108,gmail,zoom,"['New Email', 'New Starred Email', 'New Attachment', 'Watch Emails', 'New Label', 'New Email Matching Search', 'New Thread']","['Create Meeting', 'Add Webinar Registrant', 'Create Webinar', 'Add Meeting Registrant', 'Update Meeting', 'List Meeting Registrants', 'Create Webinar Registrant', 'Send Chat Message', 'Create Meeting Registrant', 'Update Webinar', 'List Webinar Registrants', 'Delete Meeting', 'Get Meeting', 'Get Webinar', 'List Call Logs', 'List Webinars', 'Make Api Call', 'Delete Webinar', 'Update Webinar Registrantâ€™S Status', 'Update Meeting Registrantâ€™S Status', 'Retrieve Meeting', 'Retrieve Webinar', 'Get Past Meeting Registrant', 'List Webinar Absentees', 'List Meetings', 'Create User', 'Delete User', 'Make Api Request (Beta)', 'List Channels']"
109,gmail,typeform,"['New Email', 'New Starred Email', 'New Attachment', 'Watch Emails', 'New Label', 'New Email Matching Search', 'New Thread']","['Create Form', 'List Forms', 'Get Form', 'Delete Image', 'List Images', 'Delete Form', 'List Responses', 'Duplicate Form', 'Create Image', 'Lookup Responses', 'Find Form By Id', 'Create Empty Form', 'Find Form', 'Update Form', 'Make Api Call', 'Delete Webhook', 'Get Form By Id']"
110,gmail,jira,"['New Email', 'New Starred Email', 'New Attachment', 'Watch Emails', 'New Label', 'New Email Matching Search', 'New Thread']","['Create Issue', 'Update Issue', 'Delete Project', 'Update Comment', 'Get Issue', 'Add Watcher To Issue', 'List Issue Comments', 'Add Attachment To Issue', 'Assign Issue', 'Get Task', 'Add Comment To Issue', 'Get User']"
111,gmail,bamboohr,"['New Email', 'New Starred Email', 'New Attachment', 'Watch Emails', 'New Label', 'New Email Matching Search', 'New Thread']","['Update Employee', 'Create Employee', ""Get Summary Of Who'S Out"", 'Respond To Time Off Request', 'Upload Employee File', 'Find/Create Employee', 'Create Time Off Request', 'Find Employee', 'Make Api Call', 'Get Employee', 'List Employees']"
112,gmail,zendesk,"['New Email', 'New Starred Email', 'New Attachment', 'Watch Emails', 'New Label', 'New Email Matching Search', 'New Thread']","['Update Ticket', 'Create Ticket', 'Update Organization', 'Update User', 'Search Ticket', 'Create Organization', 'Add Comment To Ticket', 'Create User', 'Search Agent', 'Add Tag(S) To Ticket', 'Search Organization', 'Create Group', 'Delete User', 'Get User', 'Search User', 'Update Group', 'Create Request', 'Delete Group', 'Delete Organization', 'Delete Ticket', 'Search Group', 'Search Organizations', 'Find Agent', 'Make Api Call', 'Search Anything', 'Create/Update Organization', 'Add Tag To Ticket', 'List Users', 'Search Users', 'Get Ticket', 'Create Ticket Comment', 'Find Group', 'Create/Update User', 'Find/Create User', 'Get Group', 'List Groups', 'Find Ticket', 'Find Organization', 'Get Organization', 'Search Tickets', 'Find User', 'Create Topic', 'Search User By Id', 'List Tickets', 'List Organizations', 'Find/Create Organization', 'Find/Create Ticket']"
113,gmail,monday,"['New Email', 'New Starred Email', 'New Attachment', 'Watch Emails', 'New Label', 'New Email Matching Search', 'New Thread']","['Create Item', 'Create Group', 'Create Board', 'Create Update', 'Duplicate Group', 'Archive Board', 'Archive Item', 'Update Item Name', 'Create Subitem', 'Archive Group', 'Delete Item', 'Create Column', 'Delete Group', 'Update Item Column Value', ""Get Item'S Column Value"", 'Create/Get Tag', 'Execute Graphql Query', 'Get Item', 'Get Team', 'Get User', 'Get Board', 'Get Group', 'Move Item To Group', 'Update Item', 'Update Item Column Value (Legacy)', 'Get Item Details By Id', 'List Updates', 'List Group Items', 'Search Items By Column Value', 'Create Workspace', 'Create Board Column', 'Download File', ""List Board'S Groups"", 'List Boards', 'List Items', 'List Users', 'Search Item', 'List Team Members', 'List Teams', 'List Files', 'Get User Details']"
115,bitrix24,salesforce,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Create Record', 'Update Record', 'Add Contact To Campaign', 'Update Contact', 'Create Lead', 'Update Lead', 'Add Lead To Campaign', 'Create Contact', 'Update Account', 'Update Task', 'Create Account', 'Search Record', 'Create Task', 'Search Task', 'Search Opportunity', 'Search Account', 'Search Lead', 'Search Case', 'Search Contact', 'Post Message To Chatter Feed', 'Make Api Call', 'Create Attachment', 'Create File', 'Find/Create Record', 'Update Case', 'List Jobs', 'Upsert Record', 'Search Quote', 'Find Record By Query', 'Find Record(S)', 'Search Record By Id', 'Update Product', 'Update Order', 'Update Campaign', 'Create Campaign', 'Create Order', 'Get Fields Name', 'Update Note', 'Create Note', 'Create Product', 'Create Opportunity', 'Update Opportunity', 'Create Job', 'Delete Record', 'Find Record', 'Create Case', 'Get Record', 'Search Records']"
116,bitrix24,hubspot,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Update Contact', 'Create Contact', 'Create Company', 'Create Deal', 'Update Deal', 'Update Company', 'Create Engagement', 'Add Contact To Workflow', 'Find Contact', 'Get Contact', 'Get Company', 'Get Deal', 'Update Ticket', 'Create Calendar Task', 'Add Contact To List', 'Create Ticket', 'Create/Update Contact', 'Submit Data To Form', 'Get File Public Url', 'Create Social Media Message', 'Create Associations', 'Update Product', 'Find Company', 'Find Associations', 'Create Product', 'Get Ticket', 'Find Deal', 'Remove Contact From List', 'Create Blog Post', 'Create Form Submission', 'Get Contact By Id', 'Find/Create Company', 'Find/Create Deal', 'Remove Contact From Workflow', 'Make Api Call', 'Find Products', 'Find Tickets', 'Find Deal By Id', 'Create/Update Contact (Legacy)', 'Archive Company', 'Search For Contacts', 'Archive Deal', 'Archive Product', 'Delete File', 'Associate Deal With Company', 'Associate Deal With Contact', 'Associate Multiple Crm Objects', 'Cancel Broadcast Message', 'Create Folder', 'Create Broadcast Message', 'Delete Calendar Task', 'Find Deal By Name', 'Find Deals Associated With Contact', 'Find Ticket By Id', 'Update Record', 'Get File Uploaded Via Form', 'List Owners', 'Update Email Subscription', 'Get Ticket By Id', 'Find Form By Id', 'Archive Ticket', 'Delete Record', 'Get Record', 'Delete Folder', 'Find Contact By Email', 'List Files', 'Delete Ticket', 'Find/Create Product', 'Find Ticket', 'Create Record', 'Make Api Request (Beta)', 'Find Contact By Id', 'Find Product', 'List Forms', 'Move File', 'List Tickets', 'Find/Create Ticket', 'Find/Create Contact', 'Upload File', 'List Records', 'Find Company By Name', 'Find Company By Id', 'Find Company By Domain', 'Find Product By Id', 'Get Product', 'Add Contacts To List', 'Archive Contact', 'Delete Blog Post']"
117,bitrix24,slack,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Create Channel', 'Send Channel Message', 'Set Status', 'Set Channel Topic', 'Update Profile', 'Send Direct Message', 'Add Star', 'Find User By Email', 'Update Message', 'Delete File', 'Complete Reminder', 'Unarchive Channel', 'Archive Channel', 'Leave Channel', 'Delete Message', 'Invite User To Channel', 'Add Reminder', 'Get File', 'Join Channel', 'Delete Reminder', 'Get Reminder', 'Remove Star', 'Find User By Id', 'List Users', 'Get Channel', 'Find Message', 'Kick User', 'List Members In Channel', 'List Replies', 'Create Reminder', 'Upload File', 'List Reminders', 'Send Private Channel Message', 'Set Channel Purpose', 'List Files', 'Send Group Message', 'List Channels', 'Search User By Email', 'Create Text File', 'Get User By Id', 'Search User', 'Download File', 'Save Item', 'Search User By Id', 'Find User By Username', 'Get User', 'Search Message', 'Pin Message', 'Make Api Call', 'Unpin Message', 'Send Custom Message', 'Find User By Name', 'Invite Users', 'Schedule Message', 'Search For User']"
118,bitrix24,google-sheets,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Create Spreadsheet', 'Delete Row', 'Update Row', 'Create Spreadsheet Row', 'Update Spreadsheet Row', 'Delete Spreadsheet Row', 'List Sheets', 'Delete Sheet', 'Create Worksheet', 'Copy Worksheet', 'Create Spreadsheet Column', 'Add Row', 'Create Spreadsheet Row(Line Item Support)', 'Update Row Values', 'Append Values', 'Copy Spreadsheet', 'Update Cell Value', 'Get Row(S)', 'Make Api Call', 'Find/Create Row', 'Create Sheet', 'Search Row Using Column And Value', 'Add Row To Spreadsheet', 'Copy Sheet', 'Update Cell', 'Search Rows', 'Lookup Spreadsheet Rows', 'Add Multiple Rows', 'Update Range Values', 'Search Spreadsheet', 'Delete Values', 'Copy Sheet Data', 'Add New Row']"
119,bitrix24,gmail,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Send Email', 'Create Draft', 'Create Label', 'Remove Label From Email', 'Add Label To Email', 'Copy Email', 'Update Label', 'Mark Email As Unread', 'Mark Email As Read', 'Send Yourself Email', 'Find Email', 'Move Email', 'Delete Label', 'Delete Email']"
121,bitrix24,calendly,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Get Event Type', 'Make Api Request (Beta)', 'Get User', 'Get Event', 'List Events', 'Make Api Call']"
122,bitrix24,mailchimp,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Create Campaign', 'Send Campaign', 'Add Note To Subscriber', 'Add/Update Subscriber', 'Create Custom Event', 'Update Campaign', 'Unsubscribe Email', 'Add Member To Segment', 'Search Campaigns', 'Remove Member From Segment', 'Get Campaign', 'Delete List', 'Search Lists', 'Add/Remove Member Tags', 'Find Customer', 'Edit Campaign Template Content', 'Update List', 'Get Campaign Report', 'Add Tag To Subscriber', 'Add Subscriber To Tag', 'Delete List Member', 'Find Campaign', 'Get List', 'Delete Campaign', 'Create List', 'Search Subscribers', 'Remove Tag From Subscriber', 'Add Event', 'Find/Create Tag', 'Find Subscriber By Email', 'Remove Subscriber From Tag', 'Find Campaign By Id', 'Edit Subscriber', 'Get Members', 'List Member Tags', 'Get Campaign By Id', 'Make Api Request (Beta)', 'Add Member Tag', 'Create Folder', 'Add New Member With Custom Fields', 'Remove Member Tag', 'Add Member Note', 'Update Member', 'Find Member', 'Get List Tags', 'Remove Member Tag (Tag List)', 'Update Member With Custom Fields', 'Get List Segments', 'Find/Create Campaign', 'Make Api Call', 'Create Order', 'Create Tag', 'Update Subscriber', 'Find Subscriber', 'Remove Subscriber', 'Create/Update Subscriber', 'Get Subscriber', 'Find Tag', 'Create File', 'Add New Subscriber', 'Find/Create Subscriber']"
123,bitrix24,stripe,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Update Customer', 'Create Customer', 'Create Subscription', 'Create Payment Link', 'Delete Customer', 'Create Product', 'Create Invoice', 'Cancel Payment Intent', 'Create Payment Intent', 'Retrieve Payout', 'Capture Payment Intent', 'Create Price', 'Update Refund', 'Update Invoice', 'Retrieve Payment Intent', 'Cancel Subscription', 'Send Invoice', 'Retrieve Refund', 'Create Payout', 'Create Invoice Item', 'Confirm Payment Intent', 'Create Refund', 'Cancel Payout', 'Find Customer By Email', 'Find Invoice By Id', 'Retrieve Balance Transaction', 'Retrieve Product', 'Finalize Draft Invoice', 'Create Coupon', 'Retrieve Balance', 'Retrieve Customer', 'Create Charge', 'Void Invoice', 'Delete Draft Invoice', 'Retrieve Invoice', 'Delete Invoice Item', 'Update Invoice Item', 'Update Payout', 'Create Payment Method', 'List Payment Intents', 'Update Payment Intent', 'Update Product', 'Search Invoices', 'Find Charge', 'Find Customer', 'Retrieve Subscription By Id', 'List Payouts', 'Delete Product', 'Update Charge', 'Update Invoice Line Item', 'List Invoices', 'Retrieve Customer By Id', 'Find Payment', 'List Refunds', 'Update Coupon', 'Find Subscription', 'List Customers', 'Delete Coupon', 'Find Product By Id', 'Find Customer By Id', 'Search Customers', 'Search Product By Name', 'Create Invoice Line Item', 'Create Invoice Item With Price Object', 'Create Card Token', 'Find Invoice', 'Charge Card', 'Finalize Invoice', 'Retrieve Customer By Email', 'Make Api Call', 'Create Card', 'List All Customers', 'Delete Invoice Line Item', 'Deactivate Payment Link', 'Find Product By Name']"
124,bitrix24,airtable,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Update Record', 'Create Record', 'Delete Record', 'Get Record', 'Search Record', 'Find Record', 'Search Records', 'Make Api Call', 'Create New Record', 'Search Record By View', 'Get All Record', 'Find/Create Record', 'List Records', 'Upsert Record', 'Make Api Request (Beta)']"
125,bitrix24,twilio,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Send Sms', 'Call Phone', 'Get Message', 'Get Call', 'List Calls', 'Delete Call', 'List Message Media', 'Download Recording Media', 'List Recording Transcriptions', 'Delete Message', 'List Messages', 'Create Execution', 'Send Sms Message', 'Send Mms Message', 'Send Mms', 'Create Call', 'Create Message', 'Make Phone Call', 'Make Api Call']"
127,bitrix24,razorpay,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Create Payment Link', 'Create Item', 'Update Subscription', 'Create Plan', 'Update Item', 'Create Subscription', 'Get Order By Id', 'Update Customer', 'Get Invoice By Id', 'Create Customer', 'Create Order', 'Update Order', 'Get Payment', 'Update Payment', 'Search Payments', 'Search Order By Id', 'Capture Payment', 'Search Invoice By Id', 'Create Partial Refund', 'Create Full Refund', 'Make Api Call', 'Create Invoice']"
128,bitrix24,figma,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Post Comment', 'List Comments', 'Delete Comment', 'Make Api Call', 'List Projects']"
129,bitrix24,intercom,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Create Note', 'Create/Update Company', 'Send Incoming Message', 'Add Event', 'Create Conversation', 'Update Company', 'Find Company', 'Update Tag', 'Create Company', 'Create/Update User', 'Create/Update Lead', 'Find/Create Company', 'List Segments', 'Assign Conversation', 'Reply To Conversation', 'Close Conversation', 'Get Segment', 'Create/Update Tag', 'Get Authenticated User', 'List Admins', 'Snooze Conversation', 'Create Contact', 'Update Contact', 'Delete Contact', 'Create User', 'Get Contact', 'Find User', 'Create Tag', 'Find Lead', 'Create Message', 'Find/Create Lead', 'Get Company', 'List Contacts', 'Add Note', 'Make Api Request (Beta)', 'Make Api Call', 'Delete Tag', 'List Tags', 'List Companies', 'Get Conversation', 'Create Contact Note', 'List Conversations', 'Create Lead (Legacy)']"
130,bitrix24,wordpress,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Create Post', 'Update Post', 'Create User', 'Create Tag', 'Create Category', 'Update Tag', 'Find Post', 'Update Category', 'Delete Post', 'Search Tag', 'Delete User', 'Update Comment', 'Delete Tag', 'Update User', 'Create Comment', 'Get Media Item', 'Get Tag By Id', 'Search Users', 'Delete Comment', 'Get User', 'Find User', 'Get Comment', 'Search Category', 'Get Post By Id', 'Search User', 'Delete Category', 'Make Api Call', 'Get Post', 'Get Tag', 'Search Tags', 'Search Comments', 'Get Category', 'Create Photo Post', 'Search Posts', 'Find Category', 'Search Categories', 'Upload Media']"
131,bitrix24,zoom,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Create Meeting', 'Add Webinar Registrant', 'Create Webinar', 'Add Meeting Registrant', 'Update Meeting', 'List Meeting Registrants', 'Create Webinar Registrant', 'Send Chat Message', 'Create Meeting Registrant', 'Update Webinar', 'List Webinar Registrants', 'Delete Meeting', 'Get Meeting', 'Get Webinar', 'List Call Logs', 'List Webinars', 'Make Api Call', 'Delete Webinar', 'Update Webinar Registrantâ€™S Status', 'Update Meeting Registrantâ€™S Status', 'Retrieve Meeting', 'Retrieve Webinar', 'Get Past Meeting Registrant', 'List Webinar Absentees', 'List Meetings', 'Create User', 'Delete User', 'Make Api Request (Beta)', 'List Channels']"
132,bitrix24,typeform,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Create Form', 'List Forms', 'Get Form', 'Delete Image', 'List Images', 'Delete Form', 'List Responses', 'Duplicate Form', 'Create Image', 'Lookup Responses', 'Find Form By Id', 'Create Empty Form', 'Find Form', 'Update Form', 'Make Api Call', 'Delete Webhook', 'Get Form By Id']"
133,bitrix24,jira,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Create Issue', 'Update Issue', 'Delete Project', 'Update Comment', 'Get Issue', 'Add Watcher To Issue', 'List Issue Comments', 'Add Attachment To Issue', 'Assign Issue', 'Get Task', 'Add Comment To Issue', 'Get User']"
134,bitrix24,bamboohr,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Update Employee', 'Create Employee', ""Get Summary Of Who'S Out"", 'Respond To Time Off Request', 'Upload Employee File', 'Find/Create Employee', 'Create Time Off Request', 'Find Employee', 'Make Api Call', 'Get Employee', 'List Employees']"
135,bitrix24,zendesk,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Update Ticket', 'Create Ticket', 'Update Organization', 'Update User', 'Search Ticket', 'Create Organization', 'Add Comment To Ticket', 'Create User', 'Search Agent', 'Add Tag(S) To Ticket', 'Search Organization', 'Create Group', 'Delete User', 'Get User', 'Search User', 'Update Group', 'Create Request', 'Delete Group', 'Delete Organization', 'Delete Ticket', 'Search Group', 'Search Organizations', 'Find Agent', 'Make Api Call', 'Search Anything', 'Create/Update Organization', 'Add Tag To Ticket', 'List Users', 'Search Users', 'Get Ticket', 'Create Ticket Comment', 'Find Group', 'Create/Update User', 'Find/Create User', 'Get Group', 'List Groups', 'Find Ticket', 'Find Organization', 'Get Organization', 'Search Tickets', 'Find User', 'Create Topic', 'Search User By Id', 'List Tickets', 'List Organizations', 'Find/Create Organization', 'Find/Create Ticket']"
136,bitrix24,monday,"['Contact Is Created', 'Lead Is Created', 'Deal Is Created', 'Company Is Created', 'Contact Is Updated', 'Lead Is Updated', 'List Of Lead Fields', 'Watch Contacts', 'Watch Tasks', 'Watch Invoices', 'Company Is Deleted', 'Watch Companies', 'Watch Leads', 'Watch Deals', 'Contact Trigger', 'Lead Trigger']","['Create Item', 'Create Group', 'Create Board', 'Create Update', 'Duplicate Group', 'Archive Board', 'Archive Item', 'Update Item Name', 'Create Subitem', 'Archive Group', 'Delete Item', 'Create Column', 'Delete Group', 'Update Item Column Value', ""Get Item'S Column Value"", 'Create/Get Tag', 'Execute Graphql Query', 'Get Item', 'Get Team', 'Get User', 'Get Board', 'Get Group', 'Move Item To Group', 'Update Item', 'Update Item Column Value (Legacy)', 'Get Item Details By Id', 'List Updates', 'List Group Items', 'Search Items By Column Value', 'Create Workspace', 'Create Board Column', 'Download File', ""List Board'S Groups"", 'List Boards', 'List Items', 'List Users', 'Search Item', 'List Team Members', 'List Teams', 'List Files', 'Get User Details']"
161,calendly,salesforce,"['Invitee Canceled', 'Invitee Created', 'New Event', 'Invitee Is Created', 'Invitee Is Canceled', 'Watch Events', 'New Event Type', 'Invitee Created (Organization)']","['Create Record', 'Update Record', 'Add Contact To Campaign', 'Update Contact', 'Create Lead', 'Update Lead', 'Add Lead To Campaign', 'Create Contact', 'Update Account', 'Update Task', 'Create Account', 'Search Record', 'Create Task', 'Search Task', 'Search Opportunity', 'Search Account', 'Search Lead', 'Search Case', 'Search Contact', 'Post Message To Chatter Feed', 'Make Api Call', 'Create Attachment', 'Create File', 'Find/Create Record', 'Update Case', 'List Jobs', 'Upsert Record', 'Search Quote', 'Find Record By Query', 'Find Record(S)', 'Search Record By Id', 'Update Product', 'Update Order', 'Update Campaign', 'Create Campaign', 'Create Order', 'Get Fields Name', 'Update Note', 'Create Note', 'Create Product', 'Create Opportunity', 'Update Opportunity', 'Create Job', 'Delete Record', 'Find Record', 'Create Case', 'Get Record', 'Search Records']"
